Rating,Company_Name,Headquarters,Founded,Type_of_ownership,Industry,Sector,Revenue,Min_Salary,Max_Salary,Avg_Salary,Job_State,new_job_title,Year_of_Operation,Business_Size,Python,Excel,Tableau,Power_BI,SQL,AWS,Hadoop,Azure,Spark,Machine_Learning,Matlab
3.8,Tecolote Research,"Goleta, CA",1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million ,53.0,91,72.0,NM,Data Scientist,52,Large Business,1,1,1,1,0,0,0,0,0,1,1
3.4,University of Maryland Medical System,"Baltimore, MD",1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion ,63.0,112,87.5,MD,Data Scientist,41,Enterprise Business,1,0,0,0,0,0,0,0,0,1,0
4.8,KnowBe4,"Clearwater, FL",2010,Company - Private,Security Services,Business Services,$100 to $500 million ,80.0,90,85.0,FL,Data Scientist,15,Large Business,1,1,0,0,1,0,0,0,1,1,0
3.8,PNNL,"Richland, WA",1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion ,56.0,97,76.5,WA,Data Scientist,60,Enterprise Business,1,0,0,0,0,0,0,0,0,1,0
2.9,Affinity Solutions,"New York, NY",1998,Company - Private,Advertising & Marketing,Business Services,Unknown,86.0,143,114.5,NY,Data Scientist,27,Medium Business,1,1,0,0,1,0,0,0,0,1,0
3.4,CyrusOne,"Dallas, TX",2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion ,71.0,119,95.0,TX,Data Scientist,25,Large Business,1,1,0,1,1,1,0,1,0,1,0
4.1,ClearOne Advantage,"Baltimore, MD",2008,Company - Private,Banks & Credit Unions,Finance,Unknown,54.0,93,73.5,MD,Data Scientist,17,Large Business,0,1,0,0,0,0,0,0,0,0,0
3.8,Logic20/20,"Seattle, WA",2005,Company - Private,Consulting,Business Services,$25 to $50 million ,86.0,142,114.0,CA,Data Scientist,20,Large Business,1,1,0,0,1,1,0,0,1,1,0
3.3,Rochester Regional Health,"Rochester, NY",2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion ,38.0,84,61.0,NY,Data Scientist,11,Enterprise Business,0,0,0,0,0,0,0,0,0,0,0
4.6,<intent>,"New York, NY",2009,Company - Private,Internet,Information Technology,$100 to $500 million ,120.0,160,140.0,NY,Data Scientist,16,Medium Business,1,0,0,0,0,0,0,0,1,1,0
3.5,Wish,"San Francisco, CA",2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion ,126.0,201,163.5,CA,Data Scientist,14,Large Business,1,0,0,0,0,0,0,0,0,1,0
4.1,ManTech,"Herndon, VA",1968,Company - Public,Research & Development,Business Services,$1 to $2 billion ,64.0,106,85.0,VA,Data Scientist,57,Enterprise Business,0,0,0,0,1,0,1,0,0,1,0
3.2,Walmart,"Bentonville, AR",1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion ,106.0,172,139.0,TX,Data Scientist,63,Enterprise Business,0,0,0,0,1,0,1,0,0,0,1
4.1,Yesler,"Seattle, WA",2012,Company - Private,Advertising & Marketing,Business Services,Unknown,46.0,85,65.5,WA,Data Analyst,13,Large Business,1,1,1,1,1,1,0,1,1,0,0
3.7,Takeda Pharmaceuticals,"OSAKA, Japan",1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,83.0,144,113.5,MA,Data Scientist,244,Enterprise Business,1,0,0,0,1,0,0,0,1,1,0
3.6,Audible,"Newark, NJ",1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown,102.0,190,146.0,NJ,Data Engineer,30,Enterprise Business,0,1,0,0,0,0,0,0,0,0,0
3.9,Blueprint Medicines,"Cambridge, MA",2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million ,67.0,137,102.0,MA,Other,14,Medium Business,0,1,0,0,0,0,0,0,0,0,0
4.3,h2o.ai,"Mountain View, CA",2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,118.0,189,153.5,CA,Data Scientist,14,Large Business,1,1,0,0,0,1,1,1,1,1,0
4.2,Nuna,"San Francisco, CA",2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,110.0,175,142.5,CA,Data Analyst,15,Medium Business,0,0,0,0,1,0,0,0,0,1,0
4.0,Pinnacol Assurance,"Denver, CO",1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion ,64.0,111,87.5,CO,Data Scientist,110,Large Business,1,1,0,0,1,0,0,0,0,1,0
3.2,Porch,"Seattle, WA",2012,Company - Private,Internet,Information Technology,Unknown,81.0,130,105.5,WA,Data Scientist,13,Large Business,1,0,0,0,1,0,0,0,1,1,0
3.9,Health IQ,"Mountain View, CA",2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown,73.0,119,96.0,TX,Data Scientist,12,Large Business,0,1,0,0,0,0,0,0,0,1,0
3.8,Truckstop.com,"New Plymouth, ID",1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown,86.0,139,112.5,IL,Data Scientist,30,Large Business,1,1,0,0,1,1,0,0,0,1,0
